,id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
163,137527998,2024-04-30 04:30:40,MN,1068,1,LAX,service-acco,AssignLCCAction,"2024-04-30 04:30:40,614 INFO  [44d2b1f782522eed] [MN1068   /01 LAX | service-acco | AssignLCCAction                     |                                | Thread-18047 (ActiveMQ-client-global-threads)]  Saved:","A/L Flt No Suff Date          DEP    ARR    STD in UTC                    ETD in UTC                    AC Type Reg       Assigned user  Planned user   Location 
MN  1068     NULL 2024-05-01    LAX    DUB    2024-05-01 03:30:00           2024-05-01 03:30:00           333     MNGCF     NULL           NULL           LAX"
165,137528321,2024-04-30 04:40:34,MN,1342,1,DUB,service-acco,AssignLCCAction,"2024-04-30 04:40:34,240 INFO  [2ab11e266b5ce9e9] [MN1342  /01 DUB | service-acco | AssignLCCAction                     |                                | Thread-11483 (ActiveMQ-client-global-threads)]  Received:",
166,137528975,2024-04-30 04:40:20,MN,1137,1,DUB,service-acco,AssignLCCAction,"2024-04-30 04:40:20,210 INFO  [132f101f8897572b] [MN1137  /01 DUB | service-acco | AssignLCCAction                     |                                | Thread-18069 (ActiveMQ-client-global-threads)]  Received:",
167,137528980,2024-04-30 04:40:20,MN,1137,1,DUB,service-acco,AssignLCCAction,"2024-04-30 04:40:20,217 INFO  [132f101f8897572b] [MN1137  /01 DUB | service-acco | AssignLCCAction                     |                                | Thread-18069 (ActiveMQ-client-global-threads)]  Saved:","A/L Flt No Suff Date          DEP    ARR    STD in UTC                    ETD in UTC                    AC Type Reg       Assigned user  Planned user   Location 
MN  1137    NULL 2024-05-01    DUB    BOS    2024-05-01 15:45:00           2024-05-01 15:45:00           333     MNFNG     NULL           NULL           DUB"
171,137529218,2024-04-30 04:40:14,MN,1069,1,DUB,service-acco,AssignLCCAction,"2024-04-30 04:40:14,674 INFO  [ee60b65961d1e5e8] [MN1069   /01 DUB | service-acco | AssignLCCAction                     |                                | Thread-18064 (ActiveMQ-client-global-threads)]  Received:",
172,137529223,2024-04-30 04:40:14,MN,1069,1,DUB,service-acco,AssignLCCAction,"2024-04-30 04:40:14,681 INFO  [ee60b65961d1e5e8] [MN1069   /01 DUB | service-acco | AssignLCCAction                     |                                | Thread-18064 (ActiveMQ-client-global-threads)]  Saved:","A/L Flt No Suff Date          DEP    ARR    STD in UTC                    ETD in UTC                    AC Type Reg       Assigned user  Planned user   Location 
MN  1069     NULL 2024-05-01    DUB    LAX    2024-05-01 14:25:00           2024-05-01 14:25:00           333     MNMNM     NULL           NULL           DUB"
175,137529423,2024-04-30 04:40:33,MN,1336,1,DUB,service-acco,AssignLCCAction,"2024-04-30 04:40:33,783 INFO  [5dc870d9b4e4f2d6] [MN1336  /01 DUB | service-acco | AssignLCCAction                     |                                | Thread-11482 (ActiveMQ-client-global-threads)]  Received:",
0,137524484,2024-04-30 04:01:47,MN,1262,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:01:47,383 INFO  [a277234c22fa2e5d] [MN1262  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125357  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BHX       B         11        false     NULL 
From positions : 11 
To positions   : 42"
1,137524940,2024-04-30 04:01:50,MN,1262,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:01:50,188 INFO  [3b152cbdf5b057ed] [MN1262  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140866  AKH       19606     IB        NULL      ACTUAL    135.00    KG   3         0.00      DUB       DUB       BHX       C         NULL      false     NULL 
To positions   : 11"
2,137524943,2024-04-30 04:01:50,MN,1262,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:01:50,193 INFO  [3b152cbdf5b057ed] [MN1262  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978056  flightId = 667642 legId = 687453  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125359  NULL         ESTIMATE  0.00      KG   0         0.00      DUB       DUB       BHX       BT        NULL      false     NULL 
 37125360  NULL         ESTIMATE  39.00     KG   3         0.00      DUB       DUB       BHX       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37125358  AKH       NULL      MN                  ESTIMATE  234.00    KG   18        0.00      DUB       DUB       BHX       B         41        false     NULL 
 37125357  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BHX       B         42        false     NULL 
 37140866  AKH       19606     IB        NULL      ACTUAL    135.00    KG   3         0.00      DUB       DUB       BHX       C         11        false     NULL 

STATUS FUEL 2 AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 5 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
3,137524964,2024-04-30 04:05:32,MN,1630,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:05:32,214 INFO  [52735a0dd84d57d0] [MN1630  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37124716  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       BRU       B         11        false     NULL 
From positions : 11 
To positions   : 32"
4,137525021,2024-04-30 04:02:12,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:12,081 INFO  [8d65801e1dbb10e7] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         11        false     NULL 
From positions : 11 
To positions   : 42"
5,137525024,2024-04-30 04:02:12,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:12,083 INFO  [8d65801e1dbb10e7] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-1890]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978117  flightId = 667663 legId = 687474  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123774  NULL         ESTIMATE  52.00     KG   4         0.00      DUB       DUB       MAN       BT        NULL      false     NULL 
 37123773  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       MAN       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         42        false     NULL 
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
 37123776  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         41        false     NULL 

STATUS FUEL 6 AIRCRAFT_CONFIG 1 EZFW 5 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 5 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
6,137525029,2024-04-30 04:02:21,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:21,718 INFO  [89e70cd2d6c4eccb] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
To positions   : 32"
7,137525032,2024-04-30 04:02:21,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:21,723 INFO  [89e70cd2d6c4eccb] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978117  flightId = 667663 legId = 687474  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123774  NULL         ESTIMATE  52.00     KG   4         0.00      DUB       DUB       MAN       BT        NULL      false     NULL 
 37123773  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       MAN       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         32        false     NULL 
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         42        false     NULL 
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
 37123776  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         41        false     NULL 

STATUS FUEL 6 AIRCRAFT_CONFIG 1 EZFW 5 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 5 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
8,137525033,2024-04-30 04:02:24,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:24,129 INFO  [f292f9ae94fcc55e] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Received:","com.systemone.lc2.loadplan.dto.PositionAssignmentInputDTO [ id = NULL ]
Action type    : ACTION_DRAG
Items          : ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         NULL      false     NULL 
To positions   : 11"
9,137525036,2024-04-30 04:02:24,MN,1202,30,DUB,human,AssignLoadplanAction,"2024-04-30 04:02:24,134 INFO  [f292f9ae94fcc55e] [MN1202  /30 DUB | human      | AssignLoadplanAction                |                                | default task-2829]  Saved:","com.systemone.lc2.manualloadplanning.dto.LoadDTO [ id = 2978117  flightId = 667663 legId = 687474  deleted = false  fragmentId = LoadFragment ]
BULK
 Item Id   Number       Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37123774  NULL         ESTIMATE  52.00     KG   4         0.00      DUB       DUB       MAN       BT        NULL      false     NULL 
 37123773  NULL         ESTIMATE  104.00    KG   8         0.00      DUB       DUB       MAN       B         NULL      false     NULL 
ULD
 Item Id   ULD       Number    Airline   Special   Status    Weight         Pieces    Volume    Origin    Onl.Sta.  Dest.     Category  Position  Confirmed  Remarks  
 37140796  AKH       19512     IB        NULL      ACTUAL    175.00    KG   1         0.00      DUB       DUB       MAN       C         32        false     NULL 
 37123775  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         42        false     NULL 
 37140795  AKH       19840     IB        NULL      ACTUAL    458.00    KG   2         0.00      DUB       DUB       MAN       C         11        false     NULL 
 37123776  AKH       NULL      MN                  ESTIMATE  455.00    KG   35        0.00      DUB       DUB       MAN       B         41        false     NULL 

STATUS FUEL 6 AIRCRAFT_CONFIG 1 EZFW 5 CARGO_FINAL 1 CARGO_TRANSFER 1 OFP 6 CABIN_CONFIG 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 5 REGISTRATION 1 REGISTRATION_CHANGE 1 FUEL_ORDER 2"
